Date,Close,Open,High,Low,Volume
2019-06-08,9951.00,9859.50,10065.40,9859.50,1190000
2019-06-09,9790.90,9973.90,10019.70,9790.90,8860000
2019-06-11,10065.40,10065.40,10134.00,10042.50,9530000
2019-06-12,10911.80,10568.70,10934.70,10568.70,15010000
2019-06-13,10522.90,10705.90,10705.90,10477.20,5310000
2019-06-14,10500.00,10522.90,10545.80,10500.00,4360000
2019-06-17,10271.30,10500.00,10522.90,10271.30,7670000
2019-06-18,10545.80,10271.30,10568.70,10271.30,10650000
2019-06-19,10911.80,10728.80,10911.80,10660.20,17620000
2019-06-20,10797.40,11026.20,11026.20,10797.40,920000
2019-06-21,10843.20,10934.70,10934.70,10797.40,9330000
2019-06-24,10683.10,10888.90,11003.30,10660.20,6510000
2019-06-25,10568.70,10614.40,10705.90,10522.90,6920000
2019-06-26,10477.20,10545.80,10637.30,10477.20,4010000
2019-06-27,10317.00,10477.20,10500.00,10317.00,7910000
2019-06-28,10751.70,10317.00,10751.70,10271.30,8260000
2019-07-01,10329.40,10663.70,10681.30,10259.00,6810000
2019-07-03,12001.10,12317.80,12335.40,12001.10,12470000
2019-07-05,11789.90,11895.50,11895.50,11754.70,7720000
2019-07-06,10500.00,10522.90,10660.20,10454.30,10740000
2019-07-08,10111.20,10019.70,10134.00,9973.90,7340000
2019-07-10,9745.10,9768.00,9836.60,9699.40,6990000
2019-07-11,10385.70,10134.00,10408.50,10111.20,27890000
2019-07-15,9813.80,10065.40,10065.40,9813.80,8220000
2019-07-16,9882.40,9882.40,9905.30,9813.80,7320000
2019-07-17,9768.00,9905.30,9905.30,9745.10,1150000
2019-07-18,9585.00,9768.00,9790.90,9539.30,17860000
2019-07-19,9424.90,9607.90,9699.40,9333.40,23550000
2019-07-22,9493.50,9424.90,9699.40,9287.60,1450000
2019-07-23,9928.10,9516.40,9951.00,9516.40,18980000
2019-07-24,9859.50,9928.10,9973.90,9790.90,7790000
2019-07-25,10248.40,9836.60,10248.40,9836.60,19950000
2019-07-26,10317.00,10339.90,10545.80,10271.30,20620000
2019-07-29,10111.20,10317.00,10317.00,9951.00,14650000
2019-07-30,9836.60,10111.20,10156.90,9836.60,12870000
2019-07-31,10317.00,9790.90,10317.00,9745.10,13770000
2019-08-01,10153.40,10347.00,10382.20,10100.60,8630000
2019-08-03,11948.30,11789.90,12071.50,11754.70,12740000
2019-08-04,11402.80,11438.00,11490.80,11367.60,3780000
2019-08-05,11666.70,11701.90,11719.50,11613.90,770000
